File,Line,DatabaseCall,IssueType,Severity,Impact,Status,FixRequired
security.py,79,"user = db.load_user(current_user)","Direct attribute access (user.password_hash)","CRITICAL","Password verification fails","BROKEN","Convert to User object"
security.py,159,"user = db.load_user(current_user)","Direct attribute access (multiple)","CRITICAL","Authentication checks fail","BROKEN","Convert to User object"
security.py,304,"user = db.load_user(current_user)","Direct attribute access (user.password_hash)","CRITICAL","Password reset fails","BROKEN","Convert to User object"
security.py,377,"user = db.load_user(current_user)","Direct attribute access (user.password_hash)","CRITICAL","Password update fails","BROKEN","Convert to User object"
auth.py,1158,"user = db.load_user(current_user)","Direct attribute access (user.user_id)","CRITICAL","User profile operations fail","BROKEN","Convert to User object"
auth.py,1210,"all_projects = db.get_user_projects(current_user)","Direct attribute access (project.project_id)","CRITICAL","Account deletion fails","BROKEN","Convert to ProjectContext list"
auth.py,1252,"user = db.load_user(current_user)","Direct attribute access (user.email)","CRITICAL","Email operations fail","BROKEN","Convert to User object"
subscription.py,154,"user = db.load_user(current_user)","Direct attribute access (user.subscription_tier)","CRITICAL","Subscription tier checks fail","BROKEN","Convert to User object"
subscription.py,163,"projects = db.get_user_projects(current_user)","Direct attribute access (p.owner)","CRITICAL","Team member counting fails","BROKEN","Convert to ProjectContext list"
subscription.py,480,"user = db.load_user(current_user)","Direct attribute access (multiple)","CRITICAL","Subscription operations fail","BROKEN","Convert to User object"
sponsorships.py,83,"user = db.load_user(github_username)","Direct attribute access (user.email)","CRITICAL","Sponsorship checks fail","BROKEN","Convert to User object"
sponsorships.py,226,"user = db.load_user(current_user)","Direct attribute access (multiple)","CRITICAL","Sponsorship operations fail","BROKEN","Convert to User object"
projects.py,201,"all_projects = db.get_user_projects(current_user)","Direct attribute access (p.owner)","CRITICAL","Project creation checks fail","BROKEN","Convert to ProjectContext list"
github.py,156,"all_projects = db.get_user_projects(current_user)","Direct attribute access (p.owner)","CRITICAL","GitHub import checks fail","BROKEN","Convert to ProjectContext list"
analytics.py,172,"all_projects = [db.load_project(pid) for pid in ...]","No conversion in list comprehension","CRITICAL","Analytics calculations fail","BROKEN","Convert list items to ProjectContext"
